Type,Depth,Magnitude
earthquake,0.06729,1.29
earthquake,,1.1
earthquake,,1.2
earthquake,,1.4
earthquake,,4.0
earthquake,0.007207,0.53
earthquake,0.001802,0.7
earthquake,0.04045,0.47
earthquake,0.075,0.6
earthquake,5.358,4.2
earthquake,,1.8
earthquake,3.439,4.2
earthquake,0.08557,0.64
earthquake,0.068,0.3
earthquake,0.28027437,2.7
earthquake,0.01072,0.3
earthquake,,4.0
earthquake,0.021,0.3
earthquake,0.02973,0.35
earthquake,0.1932,1.88
earthquake,0.01102,1.24
earthquake,0.07568,0.68
earthquake,0.01622,0.52
earthquake,0.01171,1.05
earthquake,8.309,4.6
earthquake,0.088,0.8
earthquake,0.01894,-0.33
earthquake,0.02963,0.53
earthquake,0.05676,2.51
earthquake,0.001802,0.54
earthquake,0.081,0.4
earthquake,0.01441,1.42
earthquake,0.04316,0.45
earthquake,0.002703,0.67
earthquake,0.001802,0.34
earthquake,0.01261,0.13
earthquake,16.894,4.4
earthquake,,1.8
earthquake,0.0009009,0.6
earthquake,,1.9
earthquake,0.01261,0.57
earthquake,0.007207,0.46
earthquake,,2.4
earthquake,0.009009,1.3
earthquake,0.022,0.0
earthquake,,0.5
earthquake,1.955,4.0
earthquake,0.0009009,0.59
earthquake,0.08495,1.0
earthquake,2.79,4.7
earthquake,0.1622,1.4
earthquake,0.072,1.0
earthquake,0.652,4.5
earthquake,0.2058,1.98
earthquake,0.03305,0.08
earthquake,0.068,1.6
earthquake,,1.9
earthquake,,1.9
earthquake,,1.32
earthquake,0.01081,0.87
earthquake,0.02432,0.52
earthquake,0.1957,0.71
earthquake,0.01081,1.45
earthquake,0.08697,0.97
earthquake,0.00991,0.47
earthquake,0.01261,0.63
earthquake,0.3,1.63
earthquake,0.01558,1.02
earthquake,,2.1
earthquake,0.07285,0.45
earthquake,0.157,0.0
earthquake,,2.1
earthquake,0.002703,-0.01
earthquake,1.385,4.3
earthquake,,1.9
earthquake,0.01997,0.13
earthquake,0.01171,0.28
earthquake,0.05135,0.07
earthquake,0.05586,0.66
earthquake,0.0964,0.84
earthquake,,1.4
earthquake,0.01843,1.26
earthquake,0.4393,1.88
earthquake,,1.9
earthquake,0.144,-0.3
earthquake,0.01081,0.52
earthquake,0.01367,0.68
earthquake,,1.3
earthquake,0.007207,0.56
earthquake,0.006306,0.53
earthquake,0.134,-0.2
