Sources,Depth,Time,TZ
/ci/,0.06729,1388620296020,-480.0
/ak/ak/,,1388620046501,-540.0
/ak/ak/,,1388619956476,-540.0
/ak/ak/,,1388619763623,-540.0
/us/,,1388619735000,-300.0
/nc/,0.007207,1388619644020,-480.0
/nc/,0.001802,1388619483870,-480.0
/ci/,0.04045,1388619402290,-480.0
/nn/,0.075,1388619146923,
/us/,5.358,1388619137530,-720.0
/ak/ak/,,1388618718598,-540.0
/us/,3.439,1388618653890,540.0
/uw/,0.08557,1388618284550,-480.0
/nn/,0.068,1388618225608,
/pr/us/,0.28027437,1388617808800,-240.0
/ci/,0.01072,1388617699360,-480.0
/us/,,1388617516400,-360.0
/nn/,0.021,1388617471115,-480.0
/nc/,0.02973,1388617009820,-480.0
/ci/,0.1932,1388616646650,-480.0
/nc/,0.01102,1388616254500,-480.0
/nn/nc/,0.07568,1388616011920,-480.0
/nc/,0.01622,1388615750350,
/nc/,0.01171,1388615736120,-480.0
/us/,8.309,1388615631260,660.0
/nn/,0.088,1388615608908,
/uw/,0.01894,1388615267370,-480.0
/ci/,0.02963,1388615009140,-480.0
/nc/nn/ci/,0.05676,1388614835770,-480.0
/nc/,0.001802,1388614645310,-480.0
/nn/,0.081,1388614630842,
/nc/,0.01441,1388614523980,-480.0
/ci/,0.04316,1388614491890,-480.0
/nc/,0.002703,1388614225770,-480.0
/nc/,0.001802,1388614199290,-480.0
/nc/,0.01261,1388614036060,-480.0
/us/,16.894,1388613903740,-60.0
/ak/ak/,,1388613896936,-540.0
/nc/,0.0009009,1388613846190,-480.0
/ak/ak/,,1388613564926,-540.0
/nc/,0.01261,1388613493430,
/nc/,0.007207,1388613272880,-480.0
/ak/ak/,,1388612889542,-600.0
/nc/,0.009009,1388612358450,-480.0
/nn/,0.022,1388612314180,
/ak/ak/,,1388612184237,-540.0
/us/,1.955,1388612020420,540.0
/nc/,0.0009009,1388611837690,-480.0
/ci/,0.08495,1388611612150,-480.0
/us/,2.79,1388611549120,540.0
/nc/,0.1622,1388610885690,-480.0
/nn/,0.072,1388610847781,
/us/,0.652,1388610693410,360.0
/ci/,0.2058,1388610678030,-480.0
/ci/,0.03305,1388609758050,-480.0
/nn/,0.068,1388609730387,
/ak/ak/,,1388609422792,-540.0
/ak/ak/,,1388608484558,-540.0
/hv/,,1388608223310,
/nc/,0.01081,1388608123990,-480.0
/nc/,0.02432,1388608089990,
/uw/,0.1957,1388606854770,-480.0
