Felt,Detail,CDI,Sig
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408890&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01421ig3u&format=geojson,,19
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01421i2zj&format=geojson,,22
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01421heui&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000mnnn&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134466&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134461&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408882&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00557597&format=geojson,,6
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w9&format=geojson,,271
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01421dpqr&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2wa&format=geojson,,271
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664506&format=geojson,,6
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00557596&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr14001004&format=geojson,,112
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408874&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000mh9r&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432852&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134456&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408866&format=geojson,,54
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134451&format=geojson,,24
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134446&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134441&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134436&format=geojson,,17
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w8&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00557595&format=geojson,,10
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664496&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408858&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134431&format=geojson,,97
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134426&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00557594&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134421&format=geojson,,31
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408842&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134411&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134416&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134406&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w5&format=geojson,,298
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01420nv25&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134401&format=geojson,,6
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01420e5d8&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134396&format=geojson,,5
