Tsunami,Magnitude,Waveform,Depth
0,1.29,ml,0.06729
0,1.1,ml,
0,1.2,ml,
0,1.4,ml,
0,4.0,ml,
0,0.53,md,0.007207
0,0.7,md,0.001802
0,0.47,ml,0.04045
0,0.6,ml,0.075
0,4.2,mb,5.358
0,1.8,ml,
0,4.2,mb,3.439
0,0.64,md,0.08557
0,0.3,ml,0.068
0,2.7,Md,0.28027437
0,0.3,mh,0.01072
0,4.0,md,
0,0.3,ml,0.021
0,0.35,md,0.02973
0,1.88,ml,0.1932
0,1.24,md,0.01102
0,0.68,md,0.07568
0,0.52,md,0.01622
0,1.05,md,0.01171
0,4.6,mb,8.309
0,0.8,ml,0.088
0,-0.33,md,0.01894
0,0.53,ml,0.02963
0,2.51,md,0.05676
0,0.54,md,0.001802
0,0.4,ml,0.081
0,1.42,md,0.01441
0,0.45,ml,0.04316
0,0.67,md,0.002703
0,0.34,md,0.001802
0,0.13,md,0.01261
0,4.4,mb,16.894
0,1.8,ml,
0,0.6,md,0.0009009
0,1.9,ml,
0,0.57,md,0.01261
0,0.46,md,0.007207
0,2.4,ml,
0,1.3,md,0.009009
0,0.0,ml,0.022
0,0.5,ml,
0,4.0,mb,1.955
0,0.59,md,0.0009009
0,1.0,ml,0.08495
0,4.7,mb,2.79
0,1.4,md,0.1622
0,1.0,ml,0.072
0,4.5,mb,0.652
0,1.98,ml,0.2058
0,0.08,ml,0.03305
0,1.6,ml,0.068
0,1.9,ml,
0,1.9,ml,
0,1.32,md,
0,0.87,md,0.01081
0,0.52,md,0.02432
0,0.71,md,0.1957
0,1.45,md,0.01081
0,0.97,ml,0.08697
0,0.47,md,0.00991
0,0.63,md,0.01261
0,1.63,md,0.3
0,1.02,ml,0.01558
0,2.1,ml,
0,0.45,ml,0.07285
0,0.0,ml,0.157
0,2.1,ml,
0,-0.01,md,0.002703
0,4.3,mb,1.385
0,1.9,ml,
0,0.13,ml,0.01997
0,0.28,md,0.01171
0,0.07,md,0.05135
0,0.66,md,0.05586
0,0.84,md,0.0964
0,1.4,ml,
0,1.26,ml,0.01843
0,1.88,ml,0.4393
0,1.9,ml,
0,-0.3,ml,0.144
0,0.52,md,0.01081
0,0.68,ml,0.01367
0,1.3,ml,
0,0.56,md,0.007207
0,0.53,md,0.006306
0,-0.2,ml,0.134
0,0.34,md,0.01892
0,0.37,md,0.00991
0,0.81,md,0.08919
0,1.44,ml,0.04233
0,0.35,ml,0.06826
0,1.1,ml,0.01193
0,4.7,mb,3.738
0,0.85,md,0.00991
0,-0.05,ml,0.06762
0,1.43,md,0.1887
0,3.6,ml,
0,1.98,md,0.001802
0,0.93,ml,0.0662
0,1.6,ml,
0,1.4,ml,
0,1.22,ml,0.03395
0,1.92,md,
0,1.97,ml,
0,1.03,md,0.005405
0,0.19,md,0.1492
0,1.4,Md,0.11049278
0,4.6,mb,2.47
0,0.51,md,0.02342
0,1.03,md,0.03423
0,0.53,md,0.01261
0,1.26,md,
0,0.57,md,0.02072
0,4.9,mb,2.576
0,1.03,md,0.03964
0,4.2,mb,0.738
1,6.5,mww,3.997
0,0.96,ml,0.01132
0,3.02,ml,0.004508
0,0.4,ml,0.04346
0,2.1,ml,
0,-0.12,md,0.01892
0,2.3,ml,
0,4.3,mb,1.828
0,1.31,md,0.01171
0,4.6,mb,0.551
0,0.73,md,0.08829
0,0.6,ml,0.21
0,0.68,md,0.01441
0,4.9,mb,2.199
0,4.9,mb,3.13
0,1.42,md,0.1225
0,1.3,ml,
0,2.2,Md,0.47161552
0,-0.07,ml,0.01619
0,2.5,ml,
0,1.6,ml,
0,4.0,mb,2.792
0,0.52,ml,0.2019
0,0.3,ml,
0,1.38,md,0.00991
0,0.4,ml,
0,1.7,ml,
0,2.5,Md,0.24793502
0,1.7,ml,
0,0.36,md,0.01712
0,2.4,ml,
0,1.8,ml,
0,0.93,md,0.07838
0,2.0,ml,
0,4.6,mb,1.823
0,0.43,md,0.003604
0,1.8,ml,
0,0.38,ml,0.03548
0,4.1,mb,2.703
0,1.25,md,0.01351
0,1.79,ml,0.2455
0,1.4,Md,0.35573285
0,0.75,ml,0.01742
0,0.43,md,0.06314
0,0.27,md,0.004505
0,0.16,ml,0.06332
0,0.87,md,0.01261
0,4.2,mb,3.317
0,0.26,ml,0.04028
0,4.1,mb,1.203
0,1.4,ml,
0,4.0,mb,1.514
0,4.6,mb,9.243
0,4.4,mb,5.399
0,1.14,md,0.08198
0,1.7,ml,
0,1.4,ml,
0,2.5,ml,
0,0.0,ml,0.12
0,0.72,ml,0.05178
0,1.28,ml,0.05898
0,0.1,md,0.007207
0,1.79,md,0.05112
0,-0.3,ml,0.148
0,2.6,ml,
0,4.0,mb,4.148
0,1.3,ml,
0,2.9,ml,
0,1.99,md,0.001802
0,0.55,md,0.005405
0,1.36,ml,0.01523
0,0.73,md,0.005405
0,1.8,ml,
0,1.9,ml,
0,1.8,ml,
0,3.2,Md,0.83543321
0,1.5,ml,
0,0.49,ml,0.1683
0,-0.7,ml,0.092
0,2.6,ml,
0,2.11,ml,0.03331
0,0.9,md,0.008108
0,2.5,ml,
0,1.1,ml,0.317
0,1.3,md,0.00991
0,0.23,md,0.006306
0,1.85,md,0.03604
0,1.58,md,0.00991
0,1.11,ml,0.06444
0,0.5,ml,0.067
0,0.49,ml,0.01051
0,0.12,md,0.01171
0,0.56,md,0.008108
0,0.7,ml,0.073
0,4.6,mb,3.893
0,0.39,ml,0.008274
0,0.07,md,0.01441
0,0.18,md,0.01171
0,0.47,ml,0.0528
0,0.9,md,0.01622
0,1.8,ml,
0,-0.8,ml,0.097
0,1.2,md,0.05856
0,4.9,mb,4.204
0,0.76,md,0.07027
0,0.31,md,0.01351
0,0.55,md,0.01892
0,0.72,ml,0.1207
0,0.73,md,0.08018
0,0.52,md,0.01982
0,-0.8,ml,0.008
0,4.3,mb,17.795
0,4.0,mb,
0,0.79,ml,0.05093
0,1.36,ml,0.06574
0,0.9,md,0.006306
0,1.12,md,0.03153
0,1.05,ml,0.1734
0,0.89,ml,0.0779
0,4.5,mb,1.771
0,-0.9,ml,0.009
0,1.47,md,0.233
0,1.25,ml,0.1042
0,0.64,ml,0.08167
0,-0.4,ml,0.008
0,0.37,md,0.03333
0,0.66,md,0.05586
0,-0.1,ml,0.065
0,0.59,ml,0.1713
0,2.3,ml,
0,1.23,ml,0.07583
0,1.34,md,0.00991
0,-0.5,ml,0.086
0,4.7,mb,16.671
0,2.92,ml,0.01891
0,2.12,md,0.1162
0,4.1,mb,0.283
0,4.1,mb,2.706
0,0.89,md,0.002703
0,1.03,md,0.2789
0,0.82,ml,0.02997
0,1.4,ml,
0,0.36,md,0.03514
0,1.03,ml,0.1264
0,-0.9,ml,0.056
0,1.6,ml,
0,2.9,ml,
0,0.57,md,0.07027
0,0.9,ml,0.369
0,1.01,ml,0.06679
0,0.4,md,0.06937
0,1.05,md,0.01892
0,1.8,ml,
0,1.9,md,0.06577
0,1.32,md,0.2162
0,0.39,ml,0.06811
0,0.69,md,0.07117
0,4.1,mb,3.639
0,0.43,md,0.01171
0,0.43,md,0.01081
0,1.46,md,0.005405
0,0.7,md,0.01273
0,1.42,ml,0.05343
0,0.59,md,0.01441
0,0.75,md,0.005405
0,1.13,md,0.2234
0,4.1,mb,5.486
0,0.45,md,0.01081
0,1.9,Md,0.04761071
0,1.6,Md,0.11678099
0,1.14,md,0.2189
0,1.6,ml,
0,1.15,md,0.2054
0,0.56,md,0.002703
0,-0.6,ml,0.056
0,1.6,ml,
0,1.1,ml,0.398
0,1.01,md,0.008108
0,2.3,ml,
0,1.26,md,0.02523
0,0.23,md,0.0009009
0,2.4,ml,0.09706
0,2.48,ml,
0,0.79,md,
0,0.45,md,0.008108
0,0.43,md,0.01532
0,1.05,md,0.01081
0,0.55,md,0.1423
0,2.19,ml,0.02217
0,4.3,mb,4.131
0,2.9,ml,
0,4.2,mb,6.443
0,0.58,ml,0.1213
0,1.8,ml,
0,2.3,ml,
0,0.1,ml,0.1128
0,1.3,ml,
0,0.22,md,0.08565
0,1.07,md,0.006306
0,2.08,ml,
0,2.0,ml,
0,0.57,md,0.007207
0,4.5,mb,5.337
0,5.1,mb,3.794
